date,total_cases,g_values
2020-02-29,1109,
2020-03-01,1697,53.02073940486925
2020-03-02,2298,35.41543901001768
2020-03-03,2742,19.321148825065272
2020-03-04,3359,22.5018234865062
2020-03-05,4194,24.85858886573385
2020-03-06,5227,24.63042441583214
2020-03-07,6353,21.5419934953128
2020-03-08,10895,71.49378246497717
2020-03-09,12811,17.586048646167967
2020-03-10,15476,20.802435407072046
2020-03-11,17597,13.705091754975445
2020-03-12,21321,21.162698187190998
2020-03-13,25927,21.60311430045495
2020-03-14,30457,17.472133297334825
2020-03-15,56584,85.78323538102899
2020-03-16,61789,9.198713417220414
2020-03-17,67682,9.537296282509832
2020-03-18,74085,9.460417836352354
2020-03-19,81773,10.377269352770465
2020-03-20,90698,10.9143604857349
2020-03-21,101082,11.448984542106771
2020-03-22,178103,76.19655329336578
2020-03-23,187248,5.134669264414412
2020-03-24,196940,5.176023241903786
2020-03-25,209661,6.459327714024576
2020-03-26,222426,6.088399845464822
2020-03-27,236604,6.374254808340751
2020-03-28,251938,6.480870991192034
2020-03-29,379357,50.575538426120715
2020-03-30,391578,3.2215037550381305
2020-03-31,403750,3.1084483806546843
2020-04-01,418762,3.718142414860681
2020-04-02,433899,3.6147023846480817
2020-04-03,450244,3.767005685654957
2020-04-04,466667,3.647577757837972
2020-04-05,579091,24.09083993511433
2020-04-06,592350,2.2896228744705063
2020-04-07,605185,2.166793280999409
2020-04-08,621768,2.740153837256376
2020-04-09,639647,2.875509836466335
2020-04-10,656707,2.6670960701762065
2020-04-11,674105,2.6492789021588017
2020-04-12,765457,13.551598044814977
2020-04-13,780632,1.9824758281653965
2020-04-14,794182,1.73577306592607
2020-04-15,809553,1.9354505642283506
2020-04-16,826089,2.042608698874564
2020-04-17,845670,2.3703257155100723
2020-04-18,865461,2.3402745751889036
2020-04-19,938638,8.455262571045951
2020-04-20,955111,1.7549896765313144
2020-04-21,970641,1.625989021171361
2020-04-22,987839,1.7718188290006296
2020-04-23,1005970,1.835420549300038
2020-04-24,1024934,1.8851456802886766
2020-04-25,1044438,1.902951799823208
2020-04-26,1101620,5.474906121761177
2020-04-27,1117623,1.4526787821571867
2020-04-28,1134017,1.4668631551068652
2020-04-29,1150251,1.4315482043038155
2020-04-30,1168632,1.5979990454257373
2020-05-01,1187919,1.6503912266650236
2020-05-02,1208301,1.7157735502168079
2020-05-03,1252499,3.6578633966205443
2020-05-04,1271613,1.5260690826898864
2020-05-05,1288256,1.308810148999735
2020-05-06,1308152,1.5444135327139947
2020-05-07,1327389,1.4705477650915184
2020-05-08,1347226,1.4944375763246494
2020-05-09,1366740,1.448457794015258
2020-05-10,1405829,2.8600172673661417
2020-05-11,1423164,1.2330802679415491
2020-05-12,1439004,1.1130129767194785
2020-05-13,1458750,1.37219910438053
2020-05-14,1475393,1.1409083119108825
2020-05-15,1493667,1.2385852447449595
2020-05-16,1509903,1.0869892686924194
2020-05-17,1543254,2.2088173876070183
2020-05-18,1557333,0.9122931157152354
2020-05-19,1571376,0.9017339258848299
2020-05-20,1586699,0.9751326226186475
2020-05-21,1603639,1.0676253025936235
2020-05-22,1618995,0.9575721219052418
2020-05-23,1633475,0.8943820085917499
2020-05-24,1666080,1.996051362891994
2020-05-25,1679475,0.8039830020167098
2020-05-26,1692437,0.7717888030485718
2020-05-27,1705809,0.7901032652914112
2020-05-28,1719870,0.8243009621827532
2020-05-29,1733841,0.8123288388075843
2020-05-30,1747945,0.8134540595129542
2020-05-31,1778233,1.732777633163515
2020-06-01,1790751,0.7039572429484775
2020-06-02,1803292,0.7003207034367145
2020-06-03,1816335,0.7232882971809336
2020-06-04,1830130,0.7594964585277496
2020-06-05,1843684,0.7406031265538513
2020-06-06,1857650,0.7575050822158245
2020-06-07,1886234,1.5387182730869646
2020-06-08,1899802,0.7193169034170734
2020-06-09,1912203,0.6527522341801935
2020-06-10,1924949,0.6665610293467796
2020-06-11,1938621,0.7102525833151944
2020-06-12,1952740,0.7283011996671861
2020-06-13,1966126,0.6854983254299087
2020-06-14,1995821,1.510330467121639
2020-06-15,2007887,0.6045632348792802
2020-06-16,2019809,0.5937585133027904
2020-06-17,2032530,0.6298120267807501
2020-06-18,2045816,0.6536680885398986
2020-06-19,2058923,0.6406734525490073
2020-06-20,2071802,0.6255212069611151
2020-06-21,2102367,1.475285765724717
2020-06-22,2113199,0.5152287873620544
2020-06-23,2124090,0.5153797630985061
2020-06-24,2135571,0.5405138200358742
2020-06-25,2148146,0.5888354917724581
2020-06-26,2159702,0.5379522620901931
2020-06-27,2171094,0.5274801801359632
2020-06-28,2201033,1.3789822089693031
2020-06-29,2211081,0.45651291916113934
2020-06-30,2221116,0.45385040168134955
2020-07-01,2231713,0.4771025016253091
2020-07-02,2242385,0.47819768939823354
2020-07-03,2253294,0.4864909460239879
2020-07-04,2263991,0.4747272215698439
2020-07-05,2292979,1.2803937824841176
2020-07-06,2302591,0.4191926746821493
2020-07-07,2311795,0.3997236157007475
2020-07-08,2321833,0.4342080504543006
2020-07-09,2332530,0.4607135827598281
2020-07-10,2343067,0.4517412423420063
2020-07-11,2354017,0.4673361879963313
2020-07-12,2386127,1.3640513216344656
2020-07-13,2395786,0.4047982358022017
2020-07-14,2404769,0.3749500164038023
2020-07-15,2415063,0.4280660637258714
2020-07-16,2425681,0.4396572677400134
2020-07-17,2436589,0.4496881494310258
2020-07-18,2447230,0.43671706635792906
2020-07-19,2485956,1.5824421897410543
2020-07-20,2495622,0.38882425915824737
2020-07-21,2504782,0.36704276529057683
2020-07-22,2515533,0.4292189899160885
