date,g_values
2021-07-27,0.226920216
2021-07-28,0.273777455
2021-07-29,0.302123262
2021-07-30,0.304327213
2021-07-31,0.295212655
2021-08-01,0.481912099
2021-08-02,0.252303465
2021-08-03,0.244457311
2021-08-04,0.28701222
2021-08-05,0.306967646
2021-08-06,0.3342143
2021-08-07,0.311364762
2021-08-08,0.476243448
2021-08-09,0.272798126
2021-08-10,0.249788287
2021-08-11,0.277172705
2021-08-12,0.309744523
2021-08-13,0.319669491
2021-08-14,0.318693722
2021-08-15,0.464316722
2021-08-16,0.265461988
2021-08-17,0.250385854
2021-08-18,0.279306467
2021-08-19,0.325923367
2021-08-20,0.320578404
2021-08-21,0.310459351
2021-08-22,0.449710342
2021-08-23,0.251592298
2021-08-24,0.245841049
2021-08-25,0.276709386
2021-08-26,0.309846081
2021-08-27,0.308857199
2021-08-28,0.309876021
2021-08-29,0.437630063
2021-08-30,0.249584893
2021-08-31,0.225565414
2021-09-01,0.254236803
2021-09-02,0.29176483
2021-09-03,0.296594237
2021-09-04,0.284121687
2021-09-05,0.398587228
2021-09-06,0.228390572
2021-09-07,0.215673647
2021-09-08,0.23150197
2021-09-09,0.233132666
2021-09-10,0.248503138
2021-09-11,0.261744855
2021-09-12,0.350691622
2021-09-13,0.207090693
2021-09-14,0.195835891
2021-09-15,0.211398843
2021-09-16,0.233582559
2021-09-17,0.228242226
2021-09-18,0.235999019
2021-09-19,0.319069258
2021-09-20,0.244984357
2021-09-21,0.175652842
2021-09-22,0.188360584
2021-09-23,0.205076397
2021-09-24,0.215600347
2021-09-25,0.207062844
2021-09-26,0.291333793
2021-09-27,0.163946095
2021-09-28,0.148660352
2021-09-29,0.179676977
2021-09-30,0.189564849
2021-10-01,0.188968577
2021-10-02,0.188142128
2021-10-03,0.276735591
2021-10-04,0.143384366
2021-10-05,0.137617114
2021-10-06,0.165779112
2021-10-07,0.176993723
2021-10-08,0.179665052
2021-10-09,0.170634591
2021-10-10,0.279330567
2021-10-11,0.135634903
2021-10-12,0.13110859
2021-10-13,0.157591653
2021-10-14,0.164447226
2021-10-15,0.163871027
2021-10-16,0.167068932
2021-10-17,0.287502775
2021-10-18,0.130695728
2021-10-19,0.128222402
2021-10-20,0.158956035
2021-10-21,0.166205747
2021-10-22,0.165965922
2021-10-23,0.16260146
2021-10-24,0.33081136
2021-10-25,0.121634489
2021-10-26,0.114848144
2021-10-27,0.161281
2021-10-28,0.172408337
2021-10-29,0.166773701
2021-10-30,0.175421333
2021-10-31,0.365177844
2021-11-01,0.119541139
2021-11-02,0.115942368
2021-11-03,0.166672576
2021-11-04,0.158973292
2021-11-05,0.163601819
2021-11-06,0.16179872
2021-11-07,0.396004003
2021-11-08,0.12244544
2021-11-09,0.121843166
2021-11-10,0.179862213
2021-11-11,0.170012596
2021-11-12,0.169229479
2021-11-13,0.15386001
2021-11-14,0.467013832
2021-11-15,0.138754842
2021-11-16,0.123810959
2021-11-17,0.191279188
2021-11-18,0.176687393
2021-11-19,0.1789126
2021-11-20,0.183222657
2021-11-21,0.523109569
2021-11-22,0.133027605
2021-11-23,0.139633444
2021-11-24,0.208474673
2021-11-25,0.183163343
2021-11-26,0.188803785
2021-11-27,0.162933239
2021-11-28,0.547794861
2021-11-29,0.134188215
2021-11-30,0.135433175
2021-12-01,0.177914315
2021-12-02,0.191507433
2021-12-03,0.195566912
2021-12-04,0.191578794
2021-12-05,0.599111673
2021-12-06,0.135910441
2021-12-07,0.133852108
2021-12-08,0.20900434
2021-12-09,0.190177961
2021-12-10,0.187761128
2021-12-11,0.184710104
2021-12-12,0.572909738
2021-12-13,0.13946125
2021-12-14,0.138051616
2021-12-15,0.215770589
2021-12-16,0.207492738
2021-12-17,0.211940245
2021-12-18,0.210101589
2021-12-19,0.608040976
2021-12-20,0.153847049
2021-12-21,0.165823683
2021-12-22,0.262095453
2021-12-23,0.255129783
2021-12-24,0.273684158
2021-12-25,0.27968104
2021-12-26,0.808993405
2021-12-27,0.169463169
2021-12-28,0.24353327
2021-12-29,0.413497901
2021-12-30,0.409027755
2021-12-31,0.47513081
2022-01-01,0.501423179
2022-01-02,1.465806243
2022-01-03,0.312724423
2022-01-04,0.405415526
2022-01-05,0.685071167
2022-01-06,0.693122242
2022-01-07,0.679084934
2022-01-08,0.665141384
2022-01-09,2.137855633
2022-01-10,0.533092883
2022-01-11,0.533133651
2022-01-12,0.896645815
2022-01-13,0.763279116
2022-01-14,0.78979596
2022-01-15,0.783023035
2022-01-16,2.241124674
2022-01-17,0.585678238
2022-01-18,0.550380875
2022-01-19,0.861545653
2022-01-20,0.854416038
2022-01-21,0.863614303
2022-01-22,0.825920148
2022-01-23,2.429602691
2022-01-24,0.593105687
2022-01-25,0.582016241
2022-01-26,0.846191201
2022-01-27,0.728087262
2022-01-28,0.734938697
2022-01-29,0.711074103
2022-01-30,2.289949902
2022-01-31,0.513544017
2022-02-01,0.463061748
2022-02-02,0.647555997
2022-02-03,0.601103977
2022-02-04,0.569010421
2022-02-05,0.58182159
2022-02-06,1.82355742
2022-02-07,0.403950743
2022-02-08,0.375052082
2022-02-09,0.490680445
2022-02-10,0.479371416
2022-02-11,0.450954995
2022-02-12,0.414091354
2022-02-13,1.347624404
2022-02-14,0.311739592
2022-02-15,0.30399946
2022-02-16,0.375348578
2022-02-17,0.372661615
2022-02-18,0.363864806
2022-02-19,0.342367536
2022-02-20,1.021450344
2022-02-21,0.258409483
2022-02-22,0.276164097
2022-02-23,0.312693928
2022-02-24,0.321949957
2022-02-25,0.313072227
2022-02-26,0.291271249
2022-02-27,0.804895084
2022-02-28,0.252191649
2022-03-01,0.245956174
2022-03-02,0.285016787
2022-03-03,0.301377663
2022-03-04,0.283432596
2022-03-05,0.279942285
2022-03-06,0.832331902
2022-03-07,0.216099174
2022-03-08,0.266366019
2022-03-09,0.302744113
2022-03-10,0.285256545
2022-03-11,0.294455289
2022-03-12,0.340509759
2022-03-13,0.913898601
2022-03-14,0.252669622
2022-03-15,0.250524963
2022-03-16,0.351366328
2022-03-17,0.320827746
2022-03-18,0.278082053
2022-03-19,0.308409094
2022-03-20,0.913000514
2022-03-21,0.208938727
2022-03-22,0.259157039
2022-03-23,0.250207184
2022-03-24,0.235223591
2022-03-25,0.239059428
2022-03-26,0.223243622
2022-03-27,0.902247882
2022-03-28,0.210961436
2022-03-29,0.205780378
2022-03-30,0.200818294
2022-03-31,0.189803784
2022-04-01,0.183309566
2022-04-02,0.161262721
2022-04-03,0.780731696
2022-04-04,0.130076362
2022-04-05,0.138007202
2022-04-06,0.147770709
2022-04-07,0.152329715
2022-04-08,0.138882712
2022-04-09,0.120592294
2022-04-10,0.632127359
2022-04-11,0.112284297
2022-04-12,0.100376438
2022-04-13,0.114658265
2022-04-14,0.092736925
2022-04-15,0.12073117
2022-04-16,0.093604587
2022-04-17,0.505566657
2022-04-18,0.08052587
2022-04-19,0.065783957
2022-04-20,0.077389476
2022-04-21,0.099567817
2022-04-22,0.094561332
2022-04-23,0.079869006
2022-04-24,0.433456568
2022-04-25,0.062550768
2022-04-26,0.065349556
2022-04-27,0.069331067
2022-04-28,0.084119828
2022-04-29,0.0759966
2022-04-30,0.065875776
2022-05-01,0.361578128
2022-05-02,0.051461115
2022-05-03,0.047895714
2022-05-04,0.063729983
2022-05-05,0.067498865
2022-05-06,0.071442195
2022-05-07,0.073152435
2022-05-08,0.32968952
2022-05-09,0.054745424
2022-05-10,0.054758685
2022-05-11,0.080338691
2022-05-12,0.081942604
2022-05-13,0.08395404
2022-05-14,0.074603295
2022-05-15,0.336064502
2022-05-16,0.053505844
2022-05-17,0.051958915
2022-05-18,0.082901221
2022-05-19,0.086885863
2022-05-20,0.083571946
2022-05-21,0.072997024
2022-05-22,0.293878549
2022-05-23,0.048272934
2022-05-24,0.05287636
2022-05-25,0.072703092
2022-05-26,0.079595181
2022-05-27,0.077033478
2022-05-28,0.071253535
2022-05-29,0.243625267
2022-05-30,0.04585585
2022-05-31,0.044017966
2022-06-01,0.058607531
2022-06-02,0.081530701
2022-06-03,0.074272866
2022-06-04,0.062914951
2022-06-05,0.249896846
2022-06-06,0.040824012
2022-06-07,0.045966771
2022-06-08,0.072092936
2022-06-09,0.08438636
2022-06-10,0.078429147
2022-06-11,0.076137697
2022-06-12,0.265048379
2022-06-13,0.04305928
2022-06-14,0.045364834
2022-06-15,0.07311694
2022-06-16,0.078981914
2022-06-17,0.085518614
2022-06-18,0.076537802
2022-06-19,0.302106753
2022-06-20,0.047701274
2022-06-21,0.047856889
2022-06-22,0.076315337
2022-06-23,0.097948889
2022-06-24,0.094900249
2022-06-25,0.093779482
2022-06-26,0.393315946
2022-06-27,0.0601579
2022-06-28,0.057413868
2022-06-29,0.089496565
2022-06-30,0.114450631
2022-07-01,0.108578708
2022-07-02,0.111927979
2022-07-03,0.428944857
2022-07-04,0.116130887
2022-07-05,0.06128067
2022-07-06,0.103966149
2022-07-07,0.123895024
2022-07-08,0.124453968
2022-07-09,0.126135489
2022-07-10,0.497846465
2022-07-11,0.134115914
2022-07-12,0.076100305
2022-07-13,0.130731564
2022-07-14,0.140098371
2022-07-15,0.138938343
2022-07-16,0.142701161
2022-07-17,0.491622095
2022-07-18,0.149095971
2022-07-19,0.082500998
2022-07-20,0.130381293
2022-07-21,0.144157913
2022-07-22,0.147633319
2022-07-23,0.153175058
2022-07-24,0.465728359
2022-07-25,0.161005585
2022-07-26,0.097753127
2022-07-27,0.140008308
2022-07-28,0.145834369
2022-07-29,0.14882786
2022-07-30,0.149808807
2022-07-31,0.419153308
2022-08-01,0.138254928
2022-08-02,0.093659597
2022-08-03,0.135859842
2022-08-04,0.142558013
2022-08-05,0.212036692
2022-08-06,0.142257265
2022-08-07,0.337130598
2022-08-08,0.121650508
2022-08-09,0.091983154
2022-08-10,0.126723976
2022-08-11,0.133211348
2022-08-12,0.136163919
2022-08-13,0.128337949
2022-08-14,0.246381903
2022-08-15,0.104304082
2022-08-16,0.072140482
2022-08-17,0.116774742
2022-08-18,0.131540111
2022-08-19,0.131494387
2022-08-20,0.131898214
2022-08-21,0.224851176
2022-08-22,0.100441016
2022-08-23,0.088878803
2022-08-24,0.109673961
2022-08-25,0.11918183
2022-08-26,0.117559852
2022-08-27,0.107526573
2022-08-28,0.157561041
2022-08-29,0.108933505
2022-08-30,0.069602402
2022-08-31,0.092230124
2022-09-01,0.099077614
2022-09-02,0.097796837
2022-09-03,0.090354404
2022-09-04,0.157394002
2022-09-05,0.065726279
2022-09-06,0.059166297
2022-09-07,0.067360999
2022-09-08,0.088102614
2022-09-09,0.078362045
2022-09-10,0.058092222
2022-09-11,0.124920231
2022-09-12,0.088568925
2022-09-13,0.047715811
2022-09-14,0.074359042
2022-09-15,0.073537658
2022-09-16,0.073301122
2022-09-17,0.060539862
2022-09-18,0.1415737
2022-09-19,0.073773405
2022-09-20,0.043056694
2022-09-21,0.059010538
2022-09-22,0.055076574
2022-09-23,0.06510672
2022-09-24,0.067002264
2022-09-25,0.164474352
2022-09-26,0.043840758
2022-09-27,0.042314744
2022-09-28,0.049218086
2022-09-29,0.058696025
2022-09-30,0.059115434
2022-10-01,0.06904053
2022-10-02,0.20458275
2022-10-03,0.035467542
2022-10-04,0.030362444
2022-10-05,0.055392626
2022-10-06,0.053588904
2022-10-07,0.052915741
2022-10-08,0.061095261
2022-10-09,0.233314889
2022-10-10,0.034964107
2022-10-11,0.029990578
2022-10-12,0.052223461
2022-10-13,0.05209898
2022-10-14,0.051890581
2022-10-15,0.053213532
2022-10-16,0.238130883
2022-10-17,0.034742701
2022-10-18,0.03196009
2022-10-19,0.05009711
2022-10-20,0.045504832
2022-10-21,0.036323066
2022-10-22,0.067998982
2022-10-23,0.198688958
2022-10-24,0.028063317
2022-10-25,0.030425785
2022-10-26,0.041138231
2022-10-27,0.03695283
2022-10-28,0.075900912
2022-10-29,0.045205659
2022-10-30,0.147475095
2022-10-31,0.027978438
2022-11-01,0.033064555
